cusip,ric,Company Common Name,trbc_economic_sector,trbc_business_sector,trbc_industry_group,trbc_industry
29479A108,ERAS.OQ,Erasca Inc,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research
294821608,ERIC.OQ,Telefonaktiebolaget LM Ericsson,Technology,Technology Equipment,Communications & Networking,Communications & Networking
29530P102,ERIE.OQ,Erie Indemnity Co,Financials,Insurance,Insurance,Property & Casualty Insurance
296006109,ERO.TO,Ero Copper Corp,Basic Materials,Mineral Resources,Metals & Mining,Specialty Mining & Metals
296056104,ESCA.OQ,Escalade Inc,Consumer Cyclicals,Cyclical Consumer Products,Leisure Products,Recreational Products
29605J106,ESAB.N,ESAB Corp,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment
296315104,ESE.N,ESCO Technologies Inc,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment
29664W105,ESPR.OQ,Esperion Therapeutics Inc,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals,Pharmaceuticals
296650104,ESP.A,Espey MFG & Electronics Corp,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components & Equipment
29667J101,ESQ.OQ,Esquire Financial Holdings Inc,Financials,Banking & Investment Services,Banking Services,Banks
29667K306,,,,,,
296689102,ESND.OQ^B19,Essendant Inc,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Supplies
29668H708,EPIX.OQ^J25,ESSA Pharma Inc,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies
29670E107,EPRT.N,Essential Properties Realty Trust Inc,Real Estate,Real Estate,Residential & Commercial REITs,Diversified REITs
29670G102,WTRG.N,Essential Utilities Inc,Utilities,Utilities,Water & Related Utilities,Water & Related Utilities
297178105,ESS.N,Essex Property Trust Inc,Real Estate,Real Estate,Residential & Commercial REITs,Residential REITs
297425100,ESL.N^C19,Esterline Technologies Corp,Industrials,Industrial Goods,Aerospace & Defense,Aerospace & Defense
297584104,ESLA.OQ,Estrella Immunopharma Inc,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research
297602104,ETD.N,Ethan Allen Interiors Inc,Consumer Cyclicals,Cyclical Consumer Products,Household Goods,Home Furnishings
29772L108,ETON.OQ,Eton Pharmaceuticals Inc,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals,Pharmaceuticals
29786A106,ETSY.N,ETSY Inc,Consumer Cyclicals,Retailers,Diversified Retail,Department Stores
29788A104,EOPN.OQ^C15,E2open LLC,Industrials,Transportation,Freight & Logistics Services,"Courier, Postal, Air Freight & Land-based Logistics"
29788T103,ETWO.N^H25,E2open Parent Holdings Inc,Technology,Software & IT Services,Software & IT Services,Software
29788T111,ETWOW.PK^H25,E2open Parent Holdings Inc,Technology,Software & IT Services,Software & IT Services,Software
29842P105,EPRX.TO,Eupraxia Pharmaceuticals Inc,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research
298736109,EEFT.OQ,Euronet Worldwide Inc,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Services
29882P106,EWCZ.OQ,European Wax Center Inc,Consumer Non-Cyclicals,Personal & Household Products & Services,Personal & Household Products & Services,Personal Services
29911Q208,EVBN.A^E25,Evans Bancorp Inc,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies
29970N104,EVEX.N,Eve Holding Inc,Industrials,Industrial Goods,Aerospace & Defense,Aerospace & Defense
29970N112,EVEX_t.N,Eve Holding Inc,Industrials,Industrial Goods,Aerospace & Defense,Aerospace & Defense
299734103,,,,,,
29975E109,EB.N^C26,Eventbrite Inc,Technology,Software & IT Services,Software & IT Services,Online Services
29977A105,EVR.N,Evercore Inc,Financials,Banking & Investment Services,Investment Banking & Investment Services,Investment Banking & Brokerage Services
29977G102,EVER.K^F17,Everbank Financial Corp,Financials,Banking & Investment Services,Banking Services,Banks
29977X105,EVCM.OQ,EverCommerce Inc,Technology,Software & IT Services,Software & IT Services,Software
29978A104,EVBG.OQ^G24,Everbridge Inc,Technology,Software & IT Services,Software & IT Services,Software
29978K102,EVCO.PK,Everest Consolidator Acquisition Corp,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies
30024B104,,,,,,
30033R108,,,,,,
30034T103,EVRI.N^G25,Everi Holdings Inc,Consumer Cyclicals,Cyclical Consumer Services,Hotels & Entertainment Services,Casinos & Gaming
30034W106,EVRG.OQ,Evergy Inc,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities
30040P103,EVTC.N,Evertec Inc,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Services
30040W108,ES.N,Eversource Energy,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities
30041R108,EVER.OQ,EverQuote Inc,Technology,Software & IT Services,Software & IT Services,Online Services
30041T104,MRAM.OQ,Everspin Technologies Inc,Technology,Technology Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
300426103,ECG.N,Everus Construction Group Inc,Industrials,Industrial & Commercial Services,Construction & Engineering,Construction & Engineering
30048L104,,,,,,
30049A107,EPM.A,Evolution Petroleum Corp,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production
30049G104,,,,,,
30049H102,EVLV.OQ,Evolv Technologies Holdings Inc,Technology,Technology Equipment,Communications & Networking,Communications & Networking
30049H110,EVLVW.OQ,Evolv Technologies Holdings Inc,Technology,Technology Equipment,Communications & Networking,Communications & Networking
30050A202,EVRZq.L^B12,Evraz Group SA,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies
30050B101,EVH.N,Evolent Health Inc,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology
30050E105,EVO.OQ,Evotec SE,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research
30052C107,EOLS.OQ,Evolus Inc,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals,Pharmaceuticals
30052F100,EVGO.OQ,EVgo Inc,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities
30052G108,EVOJ.OQ^E23,Evo Acquisition Corp,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies
30054Y107,EVMN.N,Evommune Inc,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research
30057T105,AQUA.N^E23,Evoqua Water Technologies Corp,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Environmental Services & Equipment
300614500,EXA.OQ^K17,Exa Corp,Technology,Software & IT Services,Software & IT Services,Software
30063P105,EXAS.OQ^C26,Exact Sciences Corp,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research
300645108,EXAR.N^E17,Exar Corp,Technology,Technology Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
30066A105,EXAM.K^G16,Examworks Group LLC,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Services
30068N105,,,,,,
30068X103,XGN.OQ,Exagen Inc,Healthcare,Healthcare Services & Equipment,Healthcare Providers & Services,Healthcare Facilities & Services
30069T101,EE.N,Excelerate Energy Inc,Utilities,Utilities,Natural Gas Utilities,Natural Gas Utilities
30069X102,BDMD.OQ,Baird Medical Investment Holdings Ltd,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution"
30069X110,BDMDW.OQ,Baird Medical Investment Holdings Ltd,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution"
301505707,ROBO.P,ROBO Global Robotics and Automation Index ETF,,,,
301505715,,,,,,
301505889,EMQQ.P,EMQQ The Emerging Markets Internet ETF,,,,
30158L100,,,,,,
30158L118,,,,,,
30158L209,ENPC_u.N^J22,Granite Ridge Resources Inc,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production
30161N101,EXC.OQ,Exelon Corp,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities
30161Q104,EXEL.OQ,Exelixis Inc,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research
30162A108,XLS^E15,Exelis Inc,Industrials,Industrial Goods,Aerospace & Defense,Aerospace & Defense
30162V102,,,,,,
30162V110,XELAW.PK^G22,Exela Technologies Inc,Technology,Software & IT Services,Software & IT Services,IT Services & Consulting
30162V409,,,,,,
301835104,XRC.TO^H17,Exeter Resource Corp,Basic Materials,Mineral Resources,Metals & Mining,Diversified Mining
30190A104,FG.N,F&G Annuities & Life Inc,Financials,Insurance,Insurance,Life & Health Insurance
302046107,EXF.TO^H21,EXFO Inc,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment
302051206,XIDEQ.PK^E15,Exide Technologies LLC,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components & Equipment
30205M101,,,,,,
302081104,EXLS.OQ,Exlservice Holdings Inc,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Services
30209R106,EXOD.A,Exodus Movement Inc,Technology,Financial Technology (Fintech) & Infrastructure,Financial Technology (Fintech) & Infrastructure,Blockchain & Cryptocurrency
302104104,XONE.OQ^K21,ExOne Co,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment
30212P105,,,,,,
30212P303,EXPE.OQ,Expedia Group Inc,Consumer Cyclicals,Cyclical Consumer Services,Hotels & Entertainment Services,Leisure & Recreation
30212W100,EXPI.OQ,eXp World Holdings Inc,Real Estate,Real Estate,Real Estate Operations,Real Estate Services
302130109,EXPD.N,Expeditors International of Washington Inc,Industrials,Transportation,Freight & Logistics Services,"Courier, Postal, Air Freight & Land-based Logistics"
30214U102,EXPO.OQ,Exponent Inc,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Services
30215C101,EXPGY.PK,Experian PLC,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Professional Information Services
30217C109,,,,,,
30217C117,,,,,,
30217C208,EXPCU.OQ^E21,Strata Critical Medical Inc,Technology,Software & IT Services,Software & IT Services,Online Services
30217Q108,,,,,,
302182100,,,,,,
30219E103,,,,,,
30219G108,ESRX.OQ^L18,Evernorth Health Inc,Consumer Non-Cyclicals,Food & Drug Retailing,Food & Drug Retailing,Drug Retailers
30219Q106,EXFY.OQ,Expensify Inc,Technology,Software & IT Services,Software & IT Services,Software
30223G102,EXAI.OQ^K24,Exscientia Ltd,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research
30224P200,STAY.OQ^F21,Extended Stay America Inc,Consumer Cyclicals,Cyclical Consumer Services,Hotels & Entertainment Services,"Hotels, Motels & Cruise Lines"
30225T102,EXR.N,Extra Space Storage Inc,Real Estate,Real Estate,Residential & Commercial REITs,Specialized REITs
30225X103,,,,,,
30226D106,EXTR.OQ,Extreme Networks Inc,Technology,Technology Equipment,Communications & Networking,Communications & Networking
30226DAB2,,Extreme Networks Inc,Technology,Technology Equipment,Communications & Networking,Communications & Networking
30227H106,EXTN.K^J22,Enerflex US Holdings Inc,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment
30227M105,XOGAQ.PK^A21,Extraction Oil & Gas Inc,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production
30227M303,XOG.OQ^K21,Extraction Oil & Gas Inc,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production
302301106,EZPW.OQ,EZCORP Inc,Financials,Banking & Investment Services,Banking Services,Consumer Lending
302314208,,,,,,
30231G102,XOM.N,Exxon Mobil Corp,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Refining and Marketing
30233G209,EYPT.OQ,EyePoint Inc,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals,Pharmaceuticals
30234E104,HYPD.OQ,Hyperion DeFi Inc,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals,Pharmaceuticals
30234F101,XZO.N,Exzeo Group Inc,Financials,Insurance,Insurance,Property & Casualty Insurance
30239F106,FFG.N^E21,FBL Financial Group Inc,Financials,Insurance,Insurance,Life & Health Insurance
30241L109,FEIC.OQ^I16,FEI Co,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology
30241LAD1,,FEI Co,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology
302438106,FACA.N^L22,Figure Acquisition Corp I,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies
302438114,FACAW.PK^L22,Figure Acquisition Corp I,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies
302438205,FACA_u.N^L22,Figure Acquisition Corp I,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies
302445101,FLIR.OQ^E21,FLIR Systems Inc,Technology,Technology Equipment,Communications & Networking,Communications & Networking
30247C301,,,,,,
302491303,FMC.N,FMC Corp,Basic Materials,Chemicals,Chemicals,Agricultural Chemicals
302492103,FLYW.OQ,Flywire Corp,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Services
30249U101,FTI^A17,FMC Technologies Inc,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment
302520101,FNB.N,FNB Corp,Financials,Banking & Investment Services,Banking Services,Banks
30255G103,FCB.N^A19,FCB Financial Holdings Inc,Financials,Banking & Investment Services,Banking Services,Banks
302571104,,Barclays Bank PLC,Financials,Banking & Investment Services,Banking Services,Banks
30257X104,FBK.N,FB Financial Corp,Financials,Banking & Investment Services,Banking Services,Banks
30260D103,FIGS.N,Figs Inc,Consumer Cyclicals,Cyclical Consumer Products,Textiles & Apparel,Apparel & Accessories
302633102,FSII.OQ^J12,TEL FSI Inc,Technology,Technology Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment & Testing
302635107,,,,,,
302635206,FSK.N,FS KKR Capital Corp,Financials,Collective Investments,Collective Investments,Closed End Funds
30263Y104,FSBW.OQ,FS Bancorp Inc,Financials,Banking & Investment Services,Banking Services,Banks
302693106,,,,,,
30281V108,,,,,,
30283W104,,,,,,
30292L107,FRPH.OQ,FRP Holdings Inc,Real Estate,Real Estate,Real Estate Operations,"Real Estate Rental, Development & Operations"
302941109,FCN.N,FTI Consulting Inc,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Services
30303M102,META.OQ,Meta Platforms Inc,Technology,Software & IT Services,Software & IT Services,Online Services
303075105,FDS.N,Factset Research Systems Inc,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Professional Information Services
30315R107,FSTX.OQ^C23,F-Star Therapeutics Inc,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals,Pharmaceuticals
30318F100,,,,,,
30319B108,FTPA.OQ^C23,FTAC Parnassus Acquisition Corp,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies
30319B116,FTPAW.OQ^C23,FTAC Parnassus Acquisition Corp,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies
30319B207,FTPAU.OQ^C23,FTAC Parnassus Acquisition Corp,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies
30320C103,,FTC Solar Inc,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components & Equipment
30320C301,FTCI.OQ,FTC Solar Inc,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components & Equipment
30320F106,ZING.OQ^H23,FTAC Zeus Acquisition Corp,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies
30320F114,ZINGW.OQ^H23,FTAC Zeus Acquisition Corp,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies
30320F205,ZINGU.OQ^H23,FTAC Zeus Acquisition Corp,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies
30322L101,FXLV.PK,F45 Training Holdings Inc,Consumer Cyclicals,Cyclical Consumer Services,Hotels & Entertainment Services,Leisure & Recreation
303250104,FICO.N,Fair Isaac Corp,Technology,Software & IT Services,Software & IT Services,Software
303726103,FCS.O^I16,Fairchild Semiconductor International LLC,Technology,Technology Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
303901102,FFH.TO,Fairfax Financial Holdings Ltd,Financials,Insurance,Insurance,Property & Casualty Insurance
30555Q108,FMSA.N^F18,Fairmount Santrol Holdings Inc,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment
305560104,FRP.F^A11,Fairpoint Communications LLC,Technology,Telecommunications Services,Telecommunications Services,Integrated Telecommunications Services
30606L108,,,,,,
30606L116,,,,,,
30606L207,FCACU.OQ^G21,Sharecare Inc,Technology,Software & IT Services,Software & IT Services,Software
30607B109,,,,,,
30607B208,,,,,,
306121104,FBYD.OQ,Falcon's Beyond Global Inc,Consumer Cyclicals,Cyclical Consumer Services,Media & Publishing,Entertainment Production
307000109,FDO.N^G15,Family Dollar Stores LLC,Consumer Cyclicals,Retailers,Diversified Retail,Discount Stores
30711Y102,,,,,,
30711Y201,,,,,,
30712A103,AIFU.OQ,AIFU Inc,Financials,Insurance,Insurance,Multiline Insurance & Brokers
30712L109,,,,,,
30734W109,,,,,,
30734W117,,,,,,
30734W208,FPAC_u.N^H20,Global Blue Group Holding Ltd,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Services
307359109,,,,,,
307359117,FFAIW.OQ,Faraday Future Intelligent Electric Inc,Consumer Cyclicals,Automobiles & Auto Parts,Automobiles & Auto Parts,Auto & Truck Manufacturers
30744W107,FTCHQ.PK,Farfetch Ltd,Technology,Software & IT Services,Software & IT Services,Online Services
307675108,FARM.OQ,Farmer Bros Co,Consumer Non-Cyclicals,Food & Beverages,Food & Tobacco,Food Processing
30779N105,FMAO.OQ,Farmers & Merchants Bancorp Inc,Financials,Banking & Investment Services,Banking Services,Banks
309627107,FMNB.OQ,Farmers National Banc Corp,Financials,Banking & Investment Services,Banking Services,Banks
31154R109,FPI.N,Farmland Partners Inc,Real Estate,Real Estate,Residential & Commercial REITs,Specialized REITs
311642102,FARO.OQ^G25,FARO Technologies Inc,Technology,Technology Equipment,Electronic Equipment & Parts,Electronic Equipment & Parts
311874101,,Nomura International Funding Pte Ltd,Financials,Banking & Investment Services,Banking Services,Corporate Financial Services
311874119,,,,,,
311874200,FZT_u.N^J23,Falcon's Beyond Global Inc,Consumer Cyclicals,Cyclical Consumer Services,Media & Publishing,Entertainment Production
311875108,FST.N^H22,FAST Acquisition Corp,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies
311875116,FST_t.N^H22,FAST Acquisition Corp,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies
31187R100,FSRDQ.PK^C23,Legacy FSRD Inc,Technology,Software & IT Services,Software & IT Services,IT Services & Consulting
31187R118,FSRWQ.PK^C23,Legacy FSRD Inc,Technology,Software & IT Services,Software & IT Services,IT Services & Consulting
31188V100,FSLY.OQ,Fastly Inc,Technology,Software & IT Services,Software & IT Services,IT Services & Consulting
31189P102,FATE.OQ,Fate Therapeutics Inc,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research
31189V109,FTHM.OQ,Fathom Holdings Inc,Real Estate,Real Estate,Real Estate Operations,Real Estate Services
31189Y111,FATHW.PK^E24,Fathom Digital Manufacturing Corp,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment
31189Y903,,,,,,
311900104,FAST.OQ,Fastenal Co,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment
31308T100,FCSX.OQ^J09,FCStone Group Inc,Financials,Banking & Investment Services,Investment Banking & Investment Services,Investment Banking & Brokerage Services
313148306,AGM.N,Federal Agricultural Mortgage Corp,Financials,Banking & Investment Services,Banking Services,Corporate Financial Services
313400301,FMCC.PK,Federal Home Loan Mortgage Corp,Financials,Banking & Investment Services,Banking Services,Corporate Financial Services
313549404,FDML.O^A17,Federal-Mogul Holdings LLC,Consumer Cyclicals,Automobiles & Auto Parts,Automobiles & Auto Parts,"Auto, Truck & Motorcycle Parts"
313586109,FNMA.PK,Federal National Mortgage Association,Financials,Banking & Investment Services,Banking Services,Corporate Financial Services
313745101,FRT.N,Federal Realty Investment Trust,Real Estate,Real Estate,Residential & Commercial REITs,Commercial REITs
313747206,FRT.SBX,Federal Realty Investment Trust,Real Estate,Real Estate,Residential & Commercial REITs,Commercial REITs
313855108,FSS.N,Federal Signal Corp,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Heavy Machinery & Vehicles
31410H101,,,,,,
314211103,FHI.N,Federated Hermes Inc,Financials,Banking & Investment Services,Investment Banking & Investment Services,Investment Management & Fund Operators
31422T101,,,,,,
31423J102,FAZE.OQ^C24,FaZe Holdings Inc,Technology,Software & IT Services,Software & IT Services,Online Services
31423J110,FAZEW.OQ^C24,FaZe Holdings Inc,Technology,Software & IT Services,Software & IT Services,Online Services
31425A109,FBLA.OQ,FB Bancorp Inc,Financials,Banking & Investment Services,Banking Services,Banks
31428X106,FDX.N,FedEx Corp,Industrials,Transportation,Freight & Logistics Services,"Courier, Postal, Air Freight & Land-based Logistics"
31430F101,FCH.N^I17,Felcor Lodging Trust Inc,Real Estate,Real Estate,Residential & Commercial REITs,Specialized REITs
314462102,,,,,,
31447P100,FENC.OQ,Fennec Pharmaceuticals Inc,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals,Pharmaceuticals
31488V107,FERG.N,Ferguson Enterprises Inc,Consumer Cyclicals,Cyclical Consumer Products,Homebuilding & Construction Supplies,Construction Supplies & Fixtures
314911108,FRMI.OQ,Fermi Inc,Utilities,Utilities,Multiline Utilities,Multiline Utilities
315405100,FOE.N^D22,Vibrantz Corp,Basic Materials,Chemicals,Chemicals,Specialty Chemicals
315616102,FFIV.OQ,F5 Inc,Technology,Software & IT Services,Software & IT Services,IT Services & Consulting
31567R100,,,,,,
31572Q808,,Kyntra Bio Inc,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals,Pharmaceuticals
31572Q881,KYNB.OQ,Kyntra Bio Inc,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals,Pharmaceuticals
31573A109,FBR.N^A19,Fibria Celulose S/A,Basic Materials,Applied Resources,Paper & Forest Products,Paper Products
31573L105,FBLG.OQ,Fibrobiologics Inc,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research
315785105,FGL.N^L17,Fidelity & Guaranty Life,Financials,Insurance,Insurance,Life & Health Insurance
315912808,ONEQ.OQ,Fidelity Nasdaq Composite Index ETF,,,,
316092113,FELC.P,Fidelity Enhanced Large Cap Core ETF,,,,
316092204,FDIS.P,Fidelity MSCI Consumer Discretionary Index ETF,,,,
316092303,FSTA.P,Fidelity MSCI Consumer Staples Index ETF,,,,
316092337,FFLG.Z,Fidelity Fundamental Large Cap Growth ETF,,,,
316092352,FBCG.Z,Fidelity Blue Chip Growth ETF,,,,
316092600,FHLC.P,Fidelity MSCI Health Care Index ETF,,,,
316092808,FTEC.P,Fidelity MSCI Information Technology Index ETF,,,,
316092857,FREL.P,Fidelity MSCI Real Estate Index ETF,,,,
316092873,FCOM.P,Fidelity MSCI Communication Services Index ETF,,,,
31609A305,FELG.P,Fidelity Enhanced Large Cap Growth ETF,,,,
31620M106,FIS.N,Fidelity National Information Services Inc,Technology,Financial Technology (Fintech) & Infrastructure,Financial Technology (Fintech) & Infrastructure,Financial Technology (Fintech)
31620R105,,,,,,
31620R303,FNF.N,Fidelity National Financial Inc,Financials,Insurance,Insurance,Property & Casualty Insurance
31620R402,FNFV.N^K17,Fidelity National Financial Inc,Financials,Insurance,Insurance,Property & Casualty Insurance
316500107,FDUS.OQ,Fidus Investment Corp,Financials,Collective Investments,Collective Investments,Closed End Funds
31660B101,FRGI.OQ^J23,Fiesta Restaurant Group Inc,Consumer Cyclicals,Cyclical Consumer Services,Hotels & Entertainment Services,Restaurants & Bars
316645100,,,,,,
316733104,,,,,,
316773100,FITB.OQ,Fifth Third Bancorp,Financials,Banking & Investment Services,Banking Services,Banks
31678A103,,,,,,
316790104,,,,,,
31680Q104,WUBA.N^I20,58.Com Inc,Technology,Software & IT Services,Software & IT Services,Online Services
316827104,JOBS.OQ^E22,51job Inc,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Employment Services
316841105,FIG.N,Figma Inc,Technology,Software & IT Services,Software & IT Services,Software
316926104,FDSB.OQ,Fifth District Bancorp Inc,Financials,Banking & Investment Services,Banking Services,Consumer Lending
31738L107,,Finance of America Companies Inc,Financials,Banking & Investment Services,Investment Banking & Investment Services,Investment Management & Fund Operators
31738L115,FOACW.PK^D26,Finance of America Companies Inc,Financials,Banking & Investment Services,Investment Banking & Investment Services,Investment Management & Fund Operators
31738L206,FOA.N,Finance of America Companies Inc,Financials,Banking & Investment Services,Investment Banking & Investment Services,Investment Management & Fund Operators
317485100,FNGN.OQ^G18,Edelman Financial Engines LLC,Financials,Banking & Investment Services,Investment Banking & Investment Services,Investment Management & Fund Operators
317585404,FISI.OQ,Financial Institutions Inc,Financials,Banking & Investment Services,Banking Services,Banks
31772T107,FXCO.PK^F24,Financial Strategies Acquisition Corp,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies
31773D101,,,,,,
31787A101,,,,,,
31787A507,FNSR.OQ^I19,Finisar Corp,Technology,Technology Equipment,Communications & Networking,Communications & Networking
31788K108,FNGR.OQ,FingerMotion Inc,Technology,Software & IT Services,Software & IT Services,Software
317923100,FINL.OQ^F18,Finish Line Inc,Consumer Cyclicals,Retailers,Specialty Retailers,Apparel & Accessories Retailers
318085107,,,,,,
318085115,,,,,,
31809Y103,FSRX.OQ^L23,FinServ Acquisition Corp II,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies
31809Y111,FSRXW.OQ^L23,FinServ Acquisition Corp II,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies
31809Y202,FSRXU.OQ^L23,FinServ Acquisition Corp II,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies
31810N104,,,,,,
31810Q115,FTCVW.OQ^L22,Fintech Acquisition Corp V,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies
31810T101,FINV.N,FinVolution Group,Technology,Financial Technology (Fintech) & Infrastructure,Financial Technology (Fintech) & Infrastructure,Financial Technology (Fintech)
31811A101,,,,,,
31811H106,FTVI.OQ^L22,Fintech Acquisition Corp VI,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies
31811H114,FTVIW.OQ^L22,Fintech Acquisition Corp VI,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies
31812F109,FNWD.OQ,Finward Bancorp,Financials,Banking & Investment Services,Banking Services,Banks
31813A109,FINW.OQ,Finwise Bancorp,Financials,Banking & Investment Services,Banking Services,Banks
31816Q101,,,,,,
31816X106,FLY.OQ,Firefly Aerospace Inc,Industrials,Industrial Goods,Aerospace & Defense,Aerospace & Defense
31846B108,FA.OQ,First Advantage Corp,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Employment Services
31847R102,FAF.N,First American Financial Corp,Financials,Insurance,Insurance,Property & Casualty Insurance
318522307,,,,,,
318672102,,,,,,
318672706,FBP.N,First BanCorp,Financials,Banking & Investment Services,Banking Services,Banks
